== 0 ==
"001"	{Blue}If might is supposed to make right,	then what makes left, maaan?{Color Reset}
"075"	{Blue}Cheese is always funny. Maaan, you	may not think so, but you'd be so	wrong. Pelicans are a close second.{Color Reset}
"076"	{Blue}Love is one of those complicated	things that only experts say they	understand, and they're always sad.{Color Reset}
"077"	{Blue}Elevators should be pitied, maaan.	They can only go up or down, but	never side to side. That's a bummer.{Color Reset}
"078"	{Blue}Bad habits are always in the eye of	the beholder, but, maaan, usually	that beholder is RIGHT.{Color Reset}
"079"	{Blue}Why don't people have wings and	beaks, maaan? I mean, I guess that'd	just make them birds, but so what?{Color Reset}
"080"	{Blue}Seaweed is one of the scariest	predators on the planet. Or at	least, it makes you think so, maaan.{Color Reset}
"081"	{Blue}A vacation is usually more work	than a job, maaan. How do you	take a vacation from a vacation?{Color Reset}
"082"	{Blue}Chowder is just chunky soup. I don't	know who it's tryin' to fool, maaan,	but I'm not buyin' it.{Color Reset}
"083"	{Blue}I went to the North Pole once, and,	maaan, there's no pole up there.	Really wasted a trip on that...{Color Reset}
"084"	{Blue}A sneeze is just your body's way of	expressing itself without you gettin'	in the way, maaan. Let it OUT!{Color Reset}
"085"	{Blue}You can't get rid of something for	free unless you tell people you're	trying to sell it, maaan.{Color Reset}
"086"	{Blue}Can black dogs see one another at	night? I mean, wouldn't they just be	invisible? Dude...{Color Reset}
"087"	{Blue}I still can't figure out what an olive	is. Is it a fruit or a veggie, maaan?	It's a condiment, but so what?{Color Reset}
"088"	{Blue}The ocean takes up the majority of	the planet's space, but, maaan, we	know hardly anything about it.{Color Reset}
"089"	{Blue}If you decide to play a game best	two out of three and lose, maaan,	you better ask to play again.{Color Reset}
"090"	{Blue}Squids must know they look like	octopuses, right? Maaan, do you	think one's copying the other?{Color Reset}
"091"	{Blue}Did you know that diamonds are	just chunks of compressed coal?	Maaan, I want THAT in my stocking.{Color Reset}
"092"	{Blue}Parents are people who put up with	the most hassle in their lives.	Maaan, I don't envy that too much.{Color Reset}
"093"	{Blue}Aliens, maaaan. I think I see them,	but then it's just a cloud. Or is that	what they WANT me to think?{Color Reset}
"094"	{Blue}Have you ever taken your ball and	gone home? Maaan, that's what the	referee does when the timer's up.{Color Reset}
"095"	{Blue}If you can cry yourself to sleep,	maaan, does that mean that tears	make you sleepy? Mind, blown.{Color Reset}
"096"	{Blue}I heard that space is full of dark	matter and stuff, but, maaan, those	stars make it pretty bright to me.{Color Reset}
"097"	{Blue}I had a friend who was worried he	was becoming apathetic, but then	he just stopped caring, maaan.{Color Reset}
"098"	{Blue}The air bag in your car isn't actually	for sleep, but, maaan, what if it	WAS? Wow, that bakes your pasta...{Color Reset}
"099"	{Blue}Everything is made up, maaan.	I mean, words? We just made	those up. THINK ABOUT IT!{Color Reset}
"100"	{Blue}If you told a white lie about spilling	blue paint, wouldn't that just be a	blue lie? Maaan, that'd make sense...{Color Reset}
"101"	{Blue}You ever tried putting peanut butter	on french fries? Maaan, you'd think	it'd be great, and you'd be RIGHT.{Color Reset}
"102"	{Blue}Maaan, everyone hates rain, but I'm	pretty sure they hate droughts a lot	more. Priorities, maaan!{Color Reset}
"103"	{Blue}If you give a man a fish, he'll eat	for a day, but if you give an otter a	fish, he'll put it with his other fish.{Color Reset}
"104"	{Blue}Can you consider a slide show a	movie that's just in really slow	motion? Maaan, my otter brain!{Color Reset}
"105"	{Blue}Never trust a hippo to save your	seat. He may say he will, but, man,	that dude's taking everyone's seat.{Color Reset}
"106"	{Blue}Red peppers look a lot like they're	tomatoes when they're diced up.	Maaan, is that even LEGAL?{Color Reset}
"107"	{Blue}All toads are frogs, but, maaaan,	not all frogs are toads. Dude, don't	make that mistake in conversations!{Color Reset}
"108"	{Blue}You know sleepwalkers? What if	there are sleep-sleepers as well?	Maaaan, how would we ever know?{Color Reset}
"109"	{Blue}Camping, maaaan. Why don't we cut	the act and just call it "living in the	woods for a while"?{Color Reset}
"110"	{Blue}I heard that the earth's core is hot	enough to melt anything. So, maaan,	why hasn't the earth totally melted?{Color Reset}
"111"	{Blue}I heard that rain is just a bunch of	sprinklers the cloud people turn	on, maaan. That's TRUE.{Color Reset}
"112"	{Blue}Fate doesn't follow any rules but its	own, but everyone tries to change	it anyway. Think about that, maaan.{Color Reset}
"113"	{Blue}Ever been to an ice-cream vendor?	Maaan, that guy never runs out. So	do you think his truck is magical?{Color Reset}
"114"	{Blue}You ever been forced to play the	tuba while blindfolded and falling	from a helicopter? 'Cause, maaan...{Color Reset}
"115"	{Blue}Donuts, maaaaan. Donuts.{Color Reset}
"116"	{Blue}What's up with people scuba diving,	maaan? That's just a hobby based	around not drowning. Weird...{Color Reset}
"117"	{Blue}If you walk an unknown road once,	maaan, it's not unknown anymore!{Color Reset}
"118"	{Blue}Friends gladly lend things to other	friends, but, maaan, don't lend more	than you're willing to lose.{Color Reset}
"119"	{Blue}Opinions are like birthdays, since	everyone has them. But at least	with birthdays you get free cake.{Color Reset}
"120"	{Blue}Remember when phones were built	to help us? Maaan, these days, it's	like we're built to help PHONES.{Color Reset}
"121"	{Blue}You can't worry about stuff you're	unaware of, so, maaan, save some	of that strife for your mom.{Color Reset}
"122"	{Blue}If giving extra money at a diner is	considered a tip, maaan, how much	is the whole? Oh right, the bill...{Color Reset}
"123"	{Blue}Clouds, maaan. What are they	plottin' up there?{Color Reset}
"124"	{Blue}If you made a documentary about	another documentary, maaan, just	THINK of the awards you'd win.{Color Reset}
"125"	{Blue}If you gotta feed a fever and starve	a cold, how much food do you need	to give laryngitis, maaan?{Color Reset}
"126"	{Blue}I saw a rhino in a pool once, and,	maaan, he did NOT look happy.{Color Reset}
"127"	{Blue}Why are they called "overalls"?	Maaan, they're just suspenders	with some pants.{Color Reset}
"128"	{Blue}Don't fight it, maaan. When you eat	tapioca, doesn't matter that it's a	starch—you still think it's fish eyes.{Color Reset}
"129"	{Blue}Maaan, one-hit wonders are just	bands that had other stuff to do.	Think about it! Blows your MIND.{Color Reset}
"130"	{Blue}Have you ever planned to take a nap	but slept in too late? Is that lazy,	or is it just REALLY on it, maaan?{Color Reset}
"131"	{Blue}Ever look at a bug up reeeeeeally	close? Maaan, don't DO that!{Color Reset}
"132"	{Blue}We're all like snowflakes if you think	about it. I mean, maaan, we're all	different but we all still melt in lava.{Color Reset}
"133"	{Blue}The grass is always greener, except	when you live in a desert, maaan.	Whoa, I just boggled my otter brain.{Color Reset}
"134"	{Blue}If you see a red button somewhere,	maaan, don't PUSH it, even though	I know how badly you want to.{Color Reset}
"135"	{Blue}Horses are always named goofy	things when they race, but, maaan,	I don't even think they CARE.{Color Reset}
"136"	{Blue}You ever seen a spider the size of a	yacht? Maaan, me either. And I want	to KEEP it that way...{Color Reset}
"137"	{Blue}Lions are the kings of the jungle,	but, maaan, they live in the savanna.	Who got their facts wrong?{Color Reset}
"138"	{Blue}If big things always come from	small places, maaan, why don't	we just give tiny gifts at parties?{Color Reset}
"139"	{Blue}There's a law against driving too	fast, but, maaan, there should also	be a law about driving angry.{Color Reset}
"140"	{Blue}Revenge is a dish best served cold,	so, maaan, I think revenge is actually	just pizza. THINK about it...{Color Reset}
"141"	{Blue}If you just found it on the ground,	maaan, don't eat it. I shouldn't even	have to TELL you why not.{Color Reset}
"142"	{Blue}If you wear glasses, you get called	"four-eyes," but a guy with a cane	isn't called "three-legs," maaan.{Color Reset}
"143"	{Blue}What does light look like in the	dark? Maaan, BOOM, mind blown!{Color Reset}
"144"	{Blue}People say there are always other	fish in the sea, but, maaan, there	are giant squids in there too.{Color Reset}
"145"	{Blue}If you want to have a secret identity	or something, maaan, you should	just tell people. Who'd believe you?{Color Reset}
"146"	{Blue}The ends of the earth exist, but,	maaan, they're just all connected.{Color Reset}
"147"	{Blue}If you want to adopt a houseplant,	maaan, make sure it's housebroken.{Color Reset}
"148"	{Blue}You gotta be sure to apologize when	you do something bad. Otherwise,	maaan, you've got a world of hurt.{Color Reset}
"149"	{Blue}I heard some country is planning	to put a prison on the moon, but,	maaan, that'd just be an incentive!{Color Reset}
"150"	{Blue}Why don't planes have feathers?	Maaan, just think about how much	SENSE that'd make!{Color Reset}
"151"	{Blue}An open window is just a door for	someone who locked themselves	out. Maaan, just think about it...{Color Reset}
"152"	{Blue}Ever swim with a group of dolphins	in the ocean? Maaan, I just wanna	know, 'cause that sounds awesome.{Color Reset}
"153"	{Blue}Swimming is like flying, except it's	in water instead of the sky. So I	guess it's nothing like flying, maaan.{Color Reset}
"154"	{Blue}If you have nine apples, and I take	three away, maaan, you're gonna	be really mad at me.{Color Reset}
"155"	{Blue}Stores sell beds, but, maaan, as long	as you're asleep, that place is a bed.	I mean, just think about it...{Color Reset}
"156"	{Blue}Save the otters, maaan! Beavers?	Meh, sure, save them too.{Color Reset}
"157"	{Blue}Never let a dog know you're scared,	or that you have a biscuit in your	pocket, maaan.{Color Reset}
"158"	{Blue}If I walked off a train in another	town, would that make me the	mayor? Maaan, I should try...{Color Reset}
"159"	{Blue}Ever seen a sea horse? You might	think they'd be fun to ride, but,	maaan, they don't feel the same.{Color Reset}
"160"	{Blue}I wish I could dye my fur blue so	that when I hopped in the water,	I'd be invisible. NINJAS, maaan...{Color Reset}
"161"	{Blue}If you bury all your Bells in a bag in	your yard, maaan, you either dream	big or you just don't trust anyone.{Color Reset}
"162"	{Blue}What if you already met yourself	from the future, but you thought	he was a dork? Maaan, just think...{Color Reset}
"163"	{Blue}Your brain is just like a sink of dirty	dishes, and teachers, maaan, they're	the ones scrubbing the greasy pans.{Color Reset}
"164"	{Blue}Do you think possums who play	possum just call it "playing"?	Maaan, I mean, SERIOUSLY!{Color Reset}
"165"	{Blue}I heard that cafeteria food is grown	from radioactive space worms.	MAAAAN. That's CRAZY.{Color Reset}
"166"	{Blue}Ever seen an elephant sneeze?	Maaan, EVERYONE gets caught	in the crosshairs there.{Color Reset}
"167"	{Blue}You ever have a dream that you're	in your underwear, except it's not	really a dream? Maaaaan...{Color Reset}
"168"	{Blue}I cooked a grilled-cheese sandwich	on the engine of a car once. Maaan,	it worked, but the driver was MAD.{Color Reset}
"169"	{Blue}Eyes can see anything except for	themselves, maaaaan. Well, unless	you use a mirror, I suppose...{Color Reset}
"170"	{Blue}If you grow a toe on your hand, do	you just call it a finger? Maaan...{Color Reset}
"171"	{Blue}I heard that pet birds get fed three	times a day, but they have to live in	a cage. Maaan, fair trade...{Color Reset}
"172"	{Blue}Some people just like to hear the	sound of their own voices. Maaaan...	I TOTALLY understand why.{Color Reset}
"173"	{Blue}Never ask a ballerina how she can	dance on the tips of her toes.	Maaan, it's all special effects.{Color Reset}
"174"	{Blue}Love is just a descriptionless way	you feel, but, maaaan, don't tell that	to the greeting-card people.{Color Reset}
"175"	{Blue}A glass is never half full or half	empty. Maaan, it's all full of itself!{Color Reset}
"176"	{Blue}Starfish don't glow in the dark.	Maaaaan, doesn't that just feel	like such a WASTE?{Color Reset}
"177"	{Blue}If you can make a mountain out of	a molehill, maaaan, what can you	make out of a beehive?{Color Reset}
"178"	{Blue}Weeds are just flowers that no one	thinks are pretty. Maaan, that's sort	of depressing, isn't it?{Color Reset}
"179"	{Blue}How many times have you seen a	superintendent? Yeah, think about	THAT, maaaaaan...{Color Reset}
"180"	{Blue}Why are they called marshmallows?	They're neither marshy nor mellow,	if you ask me. Maaaaan, crazy.{Color Reset}
"181"	{Blue}Isn't April Fools' just "be mean and	get away with it" day? I mean,	think about that, maaaan...{Color Reset}
"182"	{Blue}Thermal underwear is sometimes	called long johns, so, maaaan, how	long was John really...?{Color Reset}
"183"	{Blue}I hear that honesty is the best	policy, but I also hear that the	best policy has low interest, maaan.{Color Reset}
"184"	{Blue}You know that some people still	believe rabbits like to eat carrots?	Dude, that's GOATS, maaan...{Color Reset}
"185"	{Blue}If a teenager pig's room is clean, do	you think his mom gets really mad?	Maaan, just think about it for a bit...{Color Reset}
"186"	{Blue}I think the ocean is THE place to be,	but not everyone can swim, maaan.	So many people are missing OUT.{Color Reset}
"187"	{Blue}Ever tried to knit a scarf while in a	tornado? Maaan, it's not as easy as	it sounds...{Color Reset}
"188"	{Blue}Sometimes I like to listen to music	backward, just to see if it sounds	cooler. Maaaan, it doesn't...{Color Reset}
"189"	{Blue}Have you ever seen a submarine fire	torpedoes? Maaan, what about a	torpedo that fired submarines?{Color Reset}
"190"	{Blue}If there are so many languages in	the world, maaaan, that must get	REALLY confusing for the aliens...{Color Reset}
"191"	{Blue}I've always wanted to visit the zoo	for a bit, but maaaan, the rent there	is OUTRAGEOUS.{Color Reset}
"192"	{Blue}Maaan, I used to love soccer.	Then one day, I loved philosophy	a lot more. I was bad at soccer...{Color Reset}
"193"	{Blue}Squirt-gun fights always go smooth	until someone grabs the hose.	Maaan, that kid knows how to win...{Color Reset}
"194"	{Blue}Sometimes you have to just go	ahead and eat that last cookie.	Maaaan, if you don't, who will?{Color Reset}
"195"	{Blue}I heard that scientists just learned	how to talk to animals. Maaan, they	should've just called.{Color Reset}
"196"	{Blue}Boogeymen only come out when	we're all sleeping, so, maaaan, how	do we even KNOW?{Color Reset}
"197"	{Blue}If you throw your garbage in the	ocean, maaaaan, I'll just start	throwing my garbage in your bed.{Color Reset}
"198"	{Blue}Swimming pools are like the ocean,	except lame. I mean, why eat salad	when you can eat pizza, maaaan?{Color Reset}
"199"	{Blue}If you give a keepsake to someone	else, does that make it a givesake?	Maaaan, my brain is POPPING.{Color Reset}
"200"	{Blue}You ever seen a cowboy before?	Maaaan, they aren't even really	cows—they're just dudes in hats...{Color Reset}
"201"	{Blue}I used to play the flute, but,	maaaan, flutes rust really fast	if you're always in the water.{Color Reset}
"202"	{Blue}If you can have a pair of pants, then	what's just one pant? Maaan, I can't	even FATHOM that!{Color Reset}
"203"	{Blue}Frozen food is pretty great, maaan,	but how do they keep finding those	fish all frozen like that?{Color Reset}
"204"	{Blue}Teachers just invented math so	that schools always had a really	frustrating subject, maaaaan.{Color Reset}
"205"	{Blue}Potatoes, maaaan. Those are just	french fries in a less convenient	form, aren't they?{Color Reset}
"206"	{Blue}If you're a reporter but you report	on something we already know...	Maaaan, you must have slept in...{Color Reset}
"207"	{Blue}The speed of light isn't so fast.	Maaan, I want to travel faster	than the speed of TIME. Whoa...{Color Reset}
"208"	{Blue}You can't fool Santa. I heard he	calls your school gym teacher,	and, maaan, he's ALWAYS mad.{Color Reset}
"209"	{Blue}If you're wearing a new white shirt	to eat spaghetti, maaaan, you're	just inviting disaster to the table.{Color Reset}
"210"	{Blue}Why does furniture grow on trees?	And who's planting furniture trees?	Maaaan, let that bake your noodle...{Color Reset}
"211"	{Blue}I heard the sky isn't blue at all, but	we just THINK it is. Maaaaaan...	Makes you wonder, huh?{Color Reset}
"212"	{Blue}If you can't swim, that's fine.	But, maaan, if you can't FLOAT,	oh, you're in serious trouble.{Color Reset}
"213"	{Blue}People decided that roses represent	love, but, maaaan, you sure do hate	them when their thorns poke you.{Color Reset}
"214"	{Blue}Cheetahs are supposed to be so	fast, but, maaaan, I'm pretty sure	they aren't playing by the rules.{Color Reset}
"215"	{Blue}If you can get seasick, does that	mean that the sea can get person	sick? Maaaan, what if...?{Color Reset}
"216"	{Blue}What if sharks aren't trying to hurt	those guys in cages? Maaan, what if	they're just trying to free 'em?{Color Reset}
"217"	{Blue}Why do we need scorpions? Maaan,	I can understand spiders and bees,	but scorpions? No, thanks.{Color Reset}
"218"	{Blue}Ever seen a whale sneeze?	Maaan, you are missing out!{Color Reset}
"219"	{Blue}What if dinosaurs never actually	went extinct and they were always	just big skeleton lizards? Maaan...{Color Reset}
"220"	{Blue}Maaan, a hat is just pants for your	head. Doesn't that scramble your	melon? MIND BLOWN.{Color Reset}
"221"	{Blue}Why do birds need baths anyway?	Maaaan, how stinky do they get?{Color Reset}
"222"	{Blue}You know what the difference is	between hard tacos and soft tacos?	Maaan, it's the CRUNCH.{Color Reset}
"223"	{Blue}If I had a million Bells, maaaan,	I would LOVE that...{Color Reset}
"224"	{Blue}What if high tide and low tide isn't	the ocean rising and falling, but the	LAND falling and rising? Maaaan...{Color Reset}
"225"	{Blue}If you went back in time and gave	yourself a noogie, maaaan, why	would you do that?{Color Reset}
"226"	{Blue}If you follow your heart, maaan,	you always end up finding clams.{Color Reset}
"227"	{Blue}Otters are adorable. Maaan, you	can't dispute that. Don't even try.{Color Reset}
"228"	{Blue}Someone needs to make bubble gum	that tastes like clams. Maaaan, just	think how well that'd SELL.{Color Reset}
"229"	{Blue}There is no such thing as a free	lunch. Unless you didn't pay for	it, I guess. Maaaan, my brain...{Color Reset}
"230"	{Blue}You ever read the thesaurus?	Maaaan, that author just keeps	repeating himself.{Color Reset}
"231"	{Blue}Bees, maaan. Why they gotta hate?{Color Reset}
"232"	{Blue}You can't change your spots, unless	you never had spots to begin with.	Maaan, then just GO for it.{Color Reset}
"233"	{Blue}Burps are just another way for	nature to make a joke, maaaan.{Color Reset}
"234"	{Blue}Life is just like a big clam.	No, wait—that's just what I	want for dinner. Maaaaan...{Color Reset}
"235"	{Blue}I bought an oven, but I live in the	ocean, which makes it really hard to	use it. Maaan, why did I buy that?{Color Reset}
"236"	{Blue}Maaaaan, fish always stink a lot,	but you don't have to call attention	to it. Fish have feelings too.{Color Reset}
"237"	{Blue}Quality over quantity is always the	way to go, unless it's a buffet.	Maaaan, it's ALL quantity there.{Color Reset}
"238"	{Blue}People are only heroes when	someone else calls them that.	Maaan, isn't that NUTS?{Color Reset}
"239"	{Blue}Who invented algebra? I heard it	was a guy who really hated kids.	Maaaan, I bet that's true.{Color Reset}
"240"	{Blue}Some bugs can glow, but I don't get	why that is. Maaan, why are they	trying to confuse me like that?{Color Reset}
"241"	{Blue}Last year, I learned how to sew.	I have nothing to sew, though, so...	Maaan, lost my train of thought...{Color Reset}
"242"	{Blue}Sand is just really tiny rocks.	Maaan, JUST THINK ABOUT IT!{Color Reset}
"243"	{Blue}Swordfish have swords as noses.	I don't have anything to say to that,	because, maaaan, that's cool.{Color Reset}
"244"	{Blue}If you can grow a mustache, maaan,	you should ALWAYS do it.{Color Reset}
"245"	{Blue}Sometimes elephants DO forget.	I swear I heard one tell me that.	Maaaan, I forget who, though...{Color Reset}
"246"	{Blue}You don't need to be on your own	to be alone, man. Remember that.{Color Reset}
"247"	{Blue}Don't bottle up your feelings.	It's bad for you, maaan!{Color Reset}
"248"	{Blue}You gotta live a life you can be	proud of. Otherwise, what are	you really doing, maaaan?{Color Reset}
"249"	{Blue}You gotta be strong, maaaaan.{Color Reset}{Blue}	Like a scallop or something.	Mmmm, scallops...{Color Reset}
"250"	{Blue}You can always do it if you can.	Maaan, don't let anyone tell you	anything different.{Color Reset}
"251"	{Blue}The ability to speak doesn't mean	you have anything important to	say, maaaan.{Color Reset}
"252"	{Blue}Sometimes it's not so bad to be a	cog in a machine. Maaan, even cogs	are important in their own way.{Color Reset}
"253"	{Blue}Trends are just things that will be	boring in a few weeks. Maaan, those	are words to LIVE by.{Color Reset}
"254"	{Blue}I don't care if you're really short.	Maaan, everything looks short from	really far away.{Color Reset}
"255"	{Blue}Love means accepting there will	be times when you don't get the	last scallop, maaaan.{Color Reset}
"256"	{Blue}In school, they give you a free study	period, but you're not free to NOT 	study. It's just an illusion, maaaaan.{Color Reset}
"257"	{Blue}The worst restaurant in the world	can still brag about that fact, but,	maaaan, second worst is just bad.{Color Reset}
"258"	{Blue}Making someone cry is easy, but try	making that same person laugh.	Maaaan, that's really DIFFICULT.{Color Reset}
"259"	{Blue}Sometimes know-it-all kids end up	as know-nothing adults, maaaaan.{Color Reset}
"260"	{Blue}If you wanna change the world, you	should start by changing yourself.	Then change your socks, maaaan.{Color Reset}
"261"	{Blue}People who set the trends only do	so by accident. They just get really	lucky, maaan.{Color Reset}
== 1 ==
"001"	{Blue}Si el fin justifica los medios, ¿qué	ocurre cuando no tienes medios,	primate? ¿No llegas a ningún fin?{Color Reset}
