== 0 ==
"alp"	가구를 새롭게 탈바꿈시키는	리폼의 달인 리포는 가끔씩	오토캠핑장에서 기분 전환을 하며	자신도 탈바꿈시킨다.
"rci"	자수성가하여 지금도 사업의 고삐를	늦추고 있지 않은 뼛속부터 장사꾼.	취미는 골프뿐이지만	오토캠핑장에도 가끔 얼굴을 비친다.
"seg"	가끔 해안에 표류해 오는 자칭 선원.	바다의 사나이라고 하나 사실 맥주병.	오토캠핑장은 바다에 빠질 일이 없어	안심이다. 차멀미만 빼면・・・
"seo"	가리비를 좋아하는 철학자.	그의 한마디는 가끔 의미가 모호한 것도	있지만, 대충 얘기하는 것 같으면서도	하나같이 깊은 감명을 준다.
"skk"	본인의 센스로 시간을 들여 고른	상품이지만, 반드시 자신과 같은 취향의	손님이 사 간다는 보장은 없다.	그게 싫다면 그냥 컬렉터가 돼야지.
"snt"	크리스마스 시즌은 물론이고	평소에도 그 준비로 상당히 바쁜 루돌.	가끔 오토캠핑장에서 재충전을 하며	어마어마한 업무에 대비한다.
"sza"	마을 일이라면 뭐든 아는 촌장의 비서	여울. 늘 밝고 명랑하게 서포트한다.	평소엔 좀처럼 쉴 기회가 없지만	캠핑장에서는 확실히 휴식을 취한다고.
"szo"	비가 오나 눈이 오나 밝은 얼굴로	고객을 맞이하는 주택전시장의 직원.	뭐든 최선을 다하는 성격이라 캠핑도	정말 휴식인지 의심스럽다・・・
"tuk"	추수감사절에 마을로 찾아오는	실력 있는 요리사. 식재료에 대한	고집이 있고 어떤 요리든	소름 돋을 정도로 맛있다고・・・
"wrl"	요즘 캠핑카는 장비가 갖춰져 있어서	쾌적하게 지낼 수 있고 연비도 좋아서	최고라고 만족해하지만, 금세 배가	고파지는 본인의 연비는 나쁘다.
"xct"	「낯선」이라지만 상당히 낯익은	고양이. 부동산 주인 너굴의 지인으로,	내부 사정에 밝다고 하는데	정체는 아직 밝혀지지 않았다.
"cwa"	
"ant06"	캠핑카를 오리엔탈풍으로 꾸며	꽃꽂이 교실을 연 스누티.	아직 명성이 쌓이기 전이지만	부디 수강생이 많이 모이기를・・・
"bea08"	캠핑카 안에 드디어 염원하던	꽃집을 오픈한 네이아.	말로만 좋아하는 게 아니라	정말로 꽃을 좋아하는 거였다!
"bea11"	차 수리를 좋아하는 대공.	차 안에서 다른 차를 수리하다니	정말 유쾌하고 재기 넘치는 사나이다.	부탁하면 뭐든지 고쳐줄 것 같다.
"brd05"	아이돌은 호텔에서 묵어야 한다며	캠핑카를 호텔 방으로 꾸민 파이프.	그런데 아이돌이 맞는지부터	검증해봐야 하지 않을까?
"brd06"	가게 인테리어는 소박하지만	라면 맛에 관해서는	자부심 넘치는 가게 주인 일섭.	특히 탱탱한 면발이 일품이다.
"brd11"	야곱의 캠핑카는	생활감이 물씬 풍기는 아지트 느낌.	그 흐트러진 공간은 와일드한	야곱의 일상을 대변하고 있다.
"brd19"	용의 섬에 살던 리토족 소녀가	동물의 숲에 찾아왔다.	날개는 있지만 잘 날지 못하고	던전을 매우 좋아한다고 한다.
"bul03"	유료 자전거 보관소를 오픈한 모리스.	물품 보관소도 갖추고 있어서	이용객은 짐을 맡길 수도 있다.	캠핑지에 매우 필요한 공간이다.
"cat22"	헌터 라이프를 만끽하기 위해	캠핑카를 리폼한 아이루.	쿨드링크가 필요할 것 같다.	아, 고기는 잘 구워진 것 같다.
"cbr07"	캠핑카에까지 기재를 쌓아 둘 만큼	열중하는 그의 연구란 대체 뭘까?	「머핀」에 대한 연구라면	묘하게 납득할 것 같기도 하다.
"cbr09"	꿈꾸던 아이스크림 트럭을	손에 넣은 올리브. 친구들에게	손수 만든 아이스크림을	주고자 하는 일념으로 이곳에 왔다!
"cbr13"	책의 영향을 많이 받는 그녀가 캠핑을	시작한 것은「멋있는 여성 캠핑족」	이라는 책을 읽고 나서다.	하지만 지금 관심은 간호사라나・・・
"cbr18"	폼폼푸린을 아주 좋아한다.	물론 트레이드 마크는	진한 갈색 베레모. 많이 먹고	더 많이 커지면 좋겠다～
"chn10"	남쪽 섬을 좋아하는 파타야. 그녀는	느긋한 성격이며 작은 일에 신경 쓰지	않는다. 대충 맞으면 OK 하는 인물!	물론 교통 법규는 제대로 지킨다!
"cow06"	우유나 치즈 등 신선한 유제품을	각지에 배달하는 미자.	유제품을 어디에서 들여오는지는	수수께끼에 싸여 있다・・・
"crd02"	곁에 둔 쌀가마니는 아령을 대신해서	트레이닝에 사용하는 모양이다.	상당히 무거워서 근육이 움찔거린다나?	사용법이 잘못된 건 개의치 않는 듯!
"der10"	마이 멜로디 세계에 흠뻑 빠진	소녀틱한 첼시.	쿠키 굽는 것을 좋아해서	항상 친구들에게 나눠준다.
"dog09"	그림 속에나 존재할 것 같은	피크닉을 동경하는 마롱.	이상한 물건도 조금 섞인 듯하지만	본인은 크게 개의치 않는다!
"dog10"	캠핑카 내부를 리폼해서	꿈에 그리던 빵과 디저트 가게를	오픈한 베이글.	물론 이 가게의 명물은・・・
"duk11"	악기 연주와는 동떨어져 보이는	아잠만. 그의 꿈은 「식사는	오첩반상으로」라고 한다. 아, 잠깐만!	사실은 연주할 수 있는 거 아니야?
"duk13"	피자 맛이 왠지 허전하다?	그럴 땐 그게 있으면 문제없다!	토마토의 단맛과 적절한 신맛이	분명 좋은 소스가 될 것이다.
"elp05"	캠핑카에 욕조까지 만들 정도로	깨끗한 걸 좋아하는 파올로.	하루에 5번은 목욕을 한다고 한다.	그 정도면 오버 아닐까・・・?
"elp07"	야외 카페를 좋아하는 소녀.	초콜릿처럼 달콤～한 디저트를	정말 좋아한다고. 근데 차와 함께	먹는 건 좀・・・ 상상에 맡기겠다.
"elp11"	시나모롤 세계를 동경하는	피카의 캠핑카는 어딘지 모르게	카페 시나몬풍. 귀를 파닥거려서	하늘을 나는 게 꿈이다.
"flg09"	농사는 전신 운동이 되기 때문에	최고의 트레이닝이라고 한다.	텀보 기준으로는 근육통만 오면	뭐든지 OK인 것 같다.
"flg11"	「사랑도 커피도 타 버려야	의미가 있다」고 주장하는 그는	캠핑지에서도 커피를 빨대로 마신다.
"flg15"	「여기 혹시 의사 선생님 계십니까?」	라는 물음에 그는 답할 수 있을 것 같다.	캠핑카도 구급차인 것 같고・・・	근데 의사 선생님 맞겠지?
"goa02"	앤티크를 좋아하는 척하면서	실제로는 이 모든 걸 비밀 트레이닝에	사용한다고 한다. 어떤 식으로	사용하는지는 영원한 수수께끼・・・
"gor04"	이동식 트레이닝 룸이라는	꿈의 공간을 손에 넣은 머슬.	차 안은 땀 냄새라기보다	근육통 스프레이 냄새로 범벅이다.
"gor05"	어린아이는 그를 보고 울면서	도망가지만・・・ 캠핑카부터	지게차까지 커다란 탈것은	뭐든지 운전하는 듬직한 보이드.
"gor11"	자타가 공인하는 열렬한 키티 팬.	상체가 넓어서 셔츠에 그려진 키티가	쭈～욱 늘어났지만	그 정도는 문제 되지 않는다.
"ham08"	공작 시간 등에 손으로 푹 떠서	바르는 노란색 용기에 담긴 풀.	옥수수 전분 100%로 안심할 수 있다.	정겹고 따뜻한 기분이 든다.
"hip05"	주말에는 책이 쌓여 있는 캠핑카를 타고	오토캠핑장에서 보낸다.	그것이 비티가 생각하는	품격 있는 여성의 삶이라고 한다.
"hrs07"	캠핑카를 사무실로 꾸밀 정도로	열심히 일하는 아이소토프.	6시 이후에 오토캠핑장에서	기분 전환하는 것이 낙이라고 한다.
"hrs14"	「어서 오세요!」라는 말을 하고 싶어서	캠핑카를 이렇게 꾸민 7호.	24시간 언제나	손님을 기다리고 있다.
"hrs15"	론론 목장의 야생마가	동물의 숲에 찾아왔다.	「에포나의 노래」를 들으면 진정하고	마음을 열어준다고 한다.
"kal04"	세계 3대 블루치즈 중 하나인	「고르곤졸라」를 먹으러 떠나는 것이	근성의 꿈이라고 한다. 이 정도	부자라면 못 떠날 이유가 없을 것 같다.
"kgr02"	육아부터 캠핑카 운전까지	언제나 바쁜 마미!	캠핑장에서 편히 쉬면 좋겠다.	힘내요! 마미!
"lon02"	일요일은 특별한 날이기 때문에	산 정상에서 맛있는 음식을 먹으며	풍경을 감상하는 것이 취미라는 렉스.	의외로 활동적이다・・・
"lon04"	티처 선생님으로 불리는 것이 꿈이라	이동식 교실까지 만들고 말았다.	그나저나 학생이 있어야 할 텐데・・・	참고로 전공은 체육이라고 한다.
"mus08"	사탕의 캠핑카는	그럭저럭 일상 용품으로 꾸며져 있다.	뭐든지 갖춘 것은 아니지만	그럭저럭 갖췄다는 점이 그녀답다.
"oct03"	스플래툰이라는 게임에 빠져 있다.	오징어를 동경해서 조금이라도	오징어에 가까워지고자 밤낮으로	노력하지만 아무리 봐도・・・
"ost02"	캠핑카를 카페처럼 인테리어한 샌디!	그 어떤 캠핑장에 가도 우아하게	커피 한잔을 즐길 수 있다.	물론 수제 디저트도 곁들여서 말이다!
"ost03"	최근 보이스 트레이닝에 열중하고 있는	헤르츠. 노래를 잘하는지는 모르겠지만	한 가지 확실한 건 목소리가 크다는 것!	참고로 악기는 다루지 못한다.
"ost05"	줄리아의 풀코스 디너.	캠핑카임에도 불구하고	웨딩 파티 기분을	그럭저럭 낼 수 있다.
"pbr03"	「요리는 철판에 구워야지!」라며	각지의 캠핑장을 방문해서	캠핑 요리를 선보이고 다닌다.	요리 실력은 이미 달인 레벨.
"pgn09"	앞뒤로 노릇노릇 잘 구워진	호떡을 좋아하는 호떡.	반죽을 뚫고 나온 달콤한 설탕을	특히 좋아한다고 한다.
"pig09"	차 안에서 팝콘을 먹으며	영화 보는 걸 좋아하는 보리.	그런데 보통은 예고편에서	다 먹어 버린다고 한다.
"pig10"	꽃도 가족의 일원이라는 생각에	캠핑카를 정원처럼 꾸며서	여행지에 꽃들을 데리고 다니는・・・	마음씨 고운 아가씨.
"pig18"	절대적인 악의 존재가 동물의 숲에	찾아왔다. 트라이포스의 힘을	악용하지 말고 숲에 사는 주민들과	사이좋게 지내야 할 텐데・・・
"rbt11"	보드게임을 좋아하는 비니거.	차를 마시면서 친구와 함께	게임을 하면 재밌을 것 같다!	그런데 과자는 몇 등분으로 나누려나?
"rbt14"	과자를 먹으면서 게임하는 것을	좋아하는 홉킨스. 게임은 하루에	한 시간만 하기로 정했다고 한다.	의외로 절제하며 사는 것 같다.
"rbt20"	하나하나 시간을 들여 모은	케로케로케로피 컬렉션.	진한 오리엔탈 감성이 느껴지는 부분이	토비의 지향점을 보여주고 있다.
"rhn02"	얼굴은 무섭고 입도 험하다.	대체 어떤 집에 사나 싶었더니	이런 캠핑카였다.	의외로 도시 남자의 느낌.
"rhn04"	코미디언을 꿈꾸며 캠핑지를	돌아다니는 뿌람. 콤비로 활동하고	싶어 하지만 파트너가 없기 때문에	당분간 꿈은 못 이룰 것 같다・・・
"shp03"	추운 오토캠핑장 등지에서 손수 뜬	머플러를 나눠주는 마음 따뜻한 소녀.	울을 사용하는 것처럼 보이지만	소재는 100% 아크릴이다.
"shp04"	꿈꾸던 주방 캠핑카를 손에 넣은	캐시미어. 캠핑지에서 요리 솜씨를	발휘해서 캠핑족에게 나눠준다.	자신 있는 요리는 파에야.
"shp14"	키키와 라라를 좋아하는 꿈꾸는 소녀.	모두의 마음을 밝게 비추는	빛나는 여성이 되기 위해	다양한 공부를 하고 있다.
"squ13"	장래 희망이 미용사인 나타샤.	그녀의 무료 커팅 모델들은	「공짜보다 비싼 건 없다」고	하나같이 입을 모아 말한다・・・
"squ14"	요리를 정말 좋아하는 실바나.	배고픈 캠핑족들이 모이는	식당에서 일하고 싶어 한다.	실바나! 밥은 곱빼기로!
"squ19"	코스튬 플레이를 좋아한다!	지금 빠져 있는 캐릭터는 시오카라즈!	호타루역 미사키와는 둘도 없는 친구다.
"squ20"	코스튬 플레이 파트너인 나기사와	함께 있는 시간을 가장 좋아한다!	최근에는 둘이 함께 시오카라즈에	빠져 있다.
"tig02"	캠핑장을 돌아다니며	팀원을 찾는 티볼트. 그가 바라는	선수의 레벨이 너무 높은 탓인지	좀처럼 팀원은 모이지 않는 것 같다.
"wol04"	북쪽 나라로 가고자 여행에 나선 켄.	문득 정신을 차려 보니 낯선 캠핑장에서	아이스티를 마시고 있었다・・・	뭘 해도 서툴고 어설픈 남자다.
"wol08"	패션 고수는 디테일한 곳에	돈을 쓰는 법. 비록 그걸 아무도	알아주지 않는다 하더라도!
"wol11"	드디어 전설의 용사가 동물의 숲에	찾아왔다. 지금은 늑대이기 때문에	모험의 힌트는 얻을 수 없겠지만	마을 주민들과 대화는 나눌 수 있다.
