== 0 ==
""	たくさんのムシを　つかまえた{ruby (charSpan 1): ひと}人が	{ruby (charSpan 1): て}手にする、{ruby (charSpan 2): どりょく}努力の{ruby (charSpan 2): けっしょう}結晶
""	{ruby (charSpan 1): しま}島のメダルを　{ruby (charSpan 2): たいりょう}大量に{ruby (charSpan 1): て}手に{ruby (charSpan 1): い}入れた	{ruby (charSpan 2): れきせん}歴戦の{ruby (charSpan 2): ゆうし}勇士を{ruby (charSpan 1): たた}称えた、{ruby (charSpan 2): えいこう}栄光の{ruby (charSpan 1): かがや}輝き
""	{ruby (charSpan 1): はな}花や{ruby (charSpan 1): みどり}緑を　たくさん{ruby (charSpan 1): う}植えた{ruby (charSpan 1): ひと}人が	{ruby (charSpan 1): え}得られる、{ruby (charSpan 2): しぜん}自然{ruby (charSpan 3): あいこうか}愛好家のバッジ
""	{ruby (charSpan 2): かずおお}数多くの　{ruby (charSpan 1): はな}花と{ruby (charSpan 1): みどり}緑を{ruby (charSpan 1): う}植えて	{ruby (charSpan 1): むら}村を{ruby (charSpan 1): うつく}美しくしたガーデナーのバッジ
""	{ruby (charSpan 1): むら}村に　{ruby (charSpan 1): はな}花と{ruby (charSpan 1): みどり}緑を{ruby (charSpan 1): う}植え{ruby (charSpan 1): つづ}続けた	{ruby (charSpan 2): さいこう}最高のガーデナーの、{ruby (charSpan 2): えいこう}栄光の{ruby (charSpan 1): かがや}輝き
""	{ruby (charSpan 2): ざっそう}雑草を　たくさん{ruby (charSpan 1): ぬ}抜いて	{ruby (charSpan 1): むら}村の{ruby (charSpan 2): びか}美化に{ruby (charSpan 2): どりょく}努力した{ruby (charSpan 2): けっしょう}結晶
""	{ruby (charSpan 2): かずおお}数多くの　{ruby (charSpan 2): ざっそう}雑草を{ruby (charSpan 1): ぬ}抜き	{ruby (charSpan 1): むら}村を{ruby (charSpan 1): うつく}美しくした、アセと{ruby (charSpan 2): どりょく}努力の{ruby (charSpan 2): けっしょう}結晶
""	{ruby (charSpan 2): ながねん}長年に{ruby (charSpan 1): わた}渡る　{ruby (charSpan 1): くさ}草むしり{ruby (charSpan 2): せいかつ}生活で	{ruby (charSpan 1): え}得られた、アセと{ruby (charSpan 2): どりょく}努力と{ruby (charSpan 2): こんじょう}根性の{ruby (charSpan 2): けっしょう}結晶
""	{ruby (charSpan 2): じみち}地道にこつこつ{ruby (charSpan 1): た}貯め{ruby (charSpan 1): つづ}続け、	{ruby (charSpan 2): ちょきん}貯金が{ruby (charSpan 1): ふ}増えてきた{ruby (charSpan 1): ひと}人のバッジ
""	うなるほど　{ruby (charSpan 2): ちょきん}貯金を{ruby (charSpan 1): ふ}増やした、	プチセレブ　{ruby (charSpan 2): じまん}自慢のバッジ
""	とてつもない{ruby (charSpan 1): がく}額の　{ruby (charSpan 2): ちょきん}貯金をした、	{ruby (charSpan 2): さいこう}最高にリッチな{ruby (charSpan 1): ひと}人の　{ruby (charSpan 2): えいこう}栄光のバッジ
""	カブの{ruby (charSpan 1): う}売り{ruby (charSpan 1): か}買いで　もうけが{ruby (charSpan 1): で}出た、	{ruby (charSpan 2): きたい}期待のカブトレーダーの{ruby (charSpan 1): しるし}印
""	カブ{ruby (charSpan 1): か}価を{ruby (charSpan 2): みきわ}見極め　{ruby (charSpan 1): おお}大きくもうけた	{ruby (charSpan 1): う}売り{ruby (charSpan 1): か}買い{ruby (charSpan 2): じょうず}上手な　プロのマーク
""	とてつもない{ruby (charSpan 2): たいきん}大金を　カブで{ruby (charSpan 1): え}得た、	{ruby (charSpan 2): さいきょう}最強のカリスマだけが{ruby (charSpan 1): も}持つ{ruby (charSpan 1): かがや}輝き
""	いいものを　たくさん{ruby (charSpan 1): か}買った、	お{ruby (charSpan 1): か}買い{ruby (charSpan 1): もの}物{ruby (charSpan 1): ず}好きが{ruby (charSpan 1): も}持つバッジ
""	{ruby (charSpan 2): そうがく}総額2000000ベル{ruby (charSpan 2): いじょう}以上{ruby (charSpan 1): か}買った、	{ruby (charSpan 1): か}買い{ruby (charSpan 1): もの}物に{ruby (charSpan 2): むちゅう}夢中な{ruby (charSpan 1): ひと}人が{ruby (charSpan 1): も}持つバッジ
""	{ruby (charSpan 2): そうがく}総額5000000ベル{ruby (charSpan 2): いじょう}以上{ruby (charSpan 1): か}買った、	{ruby (charSpan 2): むるい}無類の{ruby (charSpan 1): か}買い{ruby (charSpan 1): もの}物{ruby (charSpan 3): あいこうか}愛好家のバッジ
""	リメイクで　{ruby (charSpan 3): どくそうてき}独創的な{ruby (charSpan 2): かぐ}家具に	{ruby (charSpan 2): へんしん}変身させるのが{ruby (charSpan 1): す}好きな{ruby (charSpan 1): ひと}人のバッジ
""	リメイクのアイデアが　{ruby (charSpan 1): いずみ}泉のように	わいてくる、{ruby (charSpan 3): じょうきゅうしゃ}上級者の{ruby (charSpan 1): あかし}証
""	{ruby (charSpan 1): あつ}熱いリメイクだましいで　{ruby (charSpan 2): たすう}多数の	{ruby (charSpan 2): かぐ}家具をリメイクした、{ruby (charSpan 2): たつじん}達人の{ruby (charSpan 1): しるし}印
""	{ruby (charSpan 2): しょうひん}商品が　そこそこ{ruby (charSpan 1): おお}多いカタログを	{ruby (charSpan 1): も}持っている{ruby (charSpan 1): ひと}人がもらえるバッジ
""	{ruby (charSpan 2): しょうひん}商品がかなり{ruby (charSpan 2): ほうふ}豊富なカタログを	{ruby (charSpan 1): も}持つ{ruby (charSpan 1): ひと}人が{ruby (charSpan 1): え}得られるバッジ
""	{ruby (charSpan 2): せかい}世界{ruby (charSpan 1): じゅう}中の{ruby (charSpan 2): しょうひん}商品がたくさんのっている	カタログを{ruby (charSpan 1): も}持つ{ruby (charSpan 1): ひと}人の、{ruby (charSpan 2): じまん}自慢のバッジ
""	ハッピーホームで　なかなかの	{ruby (charSpan 2): とくてん}得点をとった{ruby (charSpan 1): ひと}人が{ruby (charSpan 1): え}得られるバッジ
""	ハッピーホームで　かなりの{ruby (charSpan 2): とくてん}得点を	とった{ruby (charSpan 2): じっせき}実績を{ruby (charSpan 1): も}持つ{ruby (charSpan 1): ひと}人のバッジ
""	ハッピーホームで　{ruby (charSpan 2): なみはず}並外れた	{ruby (charSpan 3): こうとくてん}高得点をとった{ruby (charSpan 1): ひと}人の、{ruby (charSpan 2): えいこう}栄光の{ruby (charSpan 1): しるし}印
""	けっこうな{ruby (charSpan 2): かいすう}回数　ライブに{ruby (charSpan 1): かよ}通った、	なかなかのファンの{ruby (charSpan 1): しるし}印
""	かなりの{ruby (charSpan 2): かいすう}回数　ライブに{ruby (charSpan 1): かよ}通った、	ディープなファンの{ruby (charSpan 1): あかし}証
""	{ruby (charSpan 2): ながねん}長年ライブに{ruby (charSpan 1): かよ}通いつめた、	{ruby (charSpan 3): ねっきょうてき}熱狂的なファンの　シンボル
""	{ruby (charSpan 2): じゅうみん}住民の{ruby (charSpan 1): ねが}願いを　たくさんかなえた、	{ruby (charSpan 1): やさ}優しい{ruby (charSpan 1): こころ}心の{ruby (charSpan 1): も}持ち{ruby (charSpan 1): ぬし}主の{ruby (charSpan 1): しるし}印
""	いつでも{ruby (charSpan 2): じゅうみん}住民の　{ruby (charSpan 1): ねが}願いをかなえた、	{ruby (charSpan 1): おも}思いやりの{ruby (charSpan 1): こころ}心を{ruby (charSpan 1): も}持つ{ruby (charSpan 1): ひと}人の{ruby (charSpan 1): しるし}印
""	{ruby (charSpan 2): じぶん}自分のことは{ruby (charSpan 1): あと}後まわし、{ruby (charSpan 1): ひと}人の{ruby (charSpan 1): ねが}願いを	かなえ{ruby (charSpan 1): つづ}続けた、あたたかい{ruby (charSpan 1): こころ}心の{ruby (charSpan 2): けっしょう}結晶
""	{ruby (charSpan 2): てがみ}手紙で　コミュニケーションを	たくさんとった、{ruby (charSpan 2): てがみ}手紙{ruby (charSpan 1): ず}好きの{ruby (charSpan 1): しるし}印
""	{ruby (charSpan 2): てがみ}手紙での{ruby (charSpan 2): こうりゅう}交流を{ruby (charSpan 2): たいせつ}大切にし、	{ruby (charSpan 1): おお}多くの{ruby (charSpan 2): てがみ}手紙を{ruby (charSpan 1): おく}送った{ruby (charSpan 1): あかし}証
""	{ruby (charSpan 2): かずおお}数多くの{ruby (charSpan 2): てがみ}手紙を{ruby (charSpan 1): おく}送り　{ruby (charSpan 2): しんらい}信頼を{ruby (charSpan 1): きず}築いた	{ruby (charSpan 3): さいじょうきゅう}最上級の　ふでまめのバッジ
""	たくさんすれちがいを{ruby (charSpan 1): おこな}行った、	{ruby (charSpan 3): かつどうてき}活動的な{ruby (charSpan 1): ひと}人が{ruby (charSpan 1): も}持つバッジ
""	{ruby (charSpan 1): おお}多くの{ruby (charSpan 1): ひと}人とすれちがいを{ruby (charSpan 1): おこな}行った、	すれちがいの{ruby (charSpan 2): めいしゅ}名手が{ruby (charSpan 1): も}持つバッジ
""	{ruby (charSpan 2): ひじょう}非常に{ruby (charSpan 1): おお}多くの{ruby (charSpan 1): ひと}人とすれちがった、	すれちがいの{ruby (charSpan 2): たつじん}達人の{ruby (charSpan 1): あかし}証
""	よその{ruby (charSpan 1): むら}村に　{ruby (charSpan 2): なんかい}何回も{ruby (charSpan 1): あそ}遊びに{ruby (charSpan 1): い}行った、	おでかけ{ruby (charSpan 2): だいす}大好きな{ruby (charSpan 1): ひと}人のバッジ
""	{ruby (charSpan 1): かぞ}数え{ruby (charSpan 1): き}切れないほどの{ruby (charSpan 2): かいすう}回数、{ruby (charSpan 1): ほか}他の{ruby (charSpan 1): むら}村へ	おでかけした、{ruby (charSpan 2): じゆう}自由な{ruby (charSpan 2): たびびと}旅人のバッジ
""	あらゆる{ruby (charSpan 1): むら}村を{ruby (charSpan 1): たず}訪ね{ruby (charSpan 1): ある}歩いた、	おでかけの{ruby (charSpan 2): たつじん}達人の{ruby (charSpan 1): あかし}証
""	よその{ruby (charSpan 1): むら}村から{ruby (charSpan 1): き}来た　お{ruby (charSpan 1): きゃく}客さんが{ruby (charSpan 1): おお}多い	もてなし{ruby (charSpan 2): じょうず}上手が　にじみ{ruby (charSpan 1): で}出たバッジ
""	お{ruby (charSpan 1): きゃく}客さんが{ruby (charSpan 1): おお}多く、よその{ruby (charSpan 1): むら}村の{ruby (charSpan 1): ひと}人を	{ruby (charSpan 1): ひ}引きつける、おもてなしのプロの{ruby (charSpan 1): あかし}証
""	お{ruby (charSpan 1): きゃく}客さんが　{ruby (charSpan 1): た}絶え{ruby (charSpan 1): ま}間なく{ruby (charSpan 1): おとず}訪れる、	{ruby (charSpan 2): なみはず}並外れた{ruby (charSpan 3): しゅうきゃくりょく}集客力を{ruby (charSpan 1): しめ}示す{ruby (charSpan 1): あかし}証
""	{ruby (charSpan 1): ゆめ}夢をたくさんみた{ruby (charSpan 1): ひと}人が{ruby (charSpan 1): え}得られる	ドリーミーな　{ruby (charSpan 1): ゆめ}夢のしずく
""	{ruby (charSpan 1): ゆめ}夢の{ruby (charSpan 2): せかい}世界が{ruby (charSpan 2): だいす}大好きな、	{ruby (charSpan 1): ふか}深いドリーマーの　{ruby (charSpan 1): ゆめ}夢のかけら
""	{ruby (charSpan 1): ゆめ}夢の{ruby (charSpan 2): せかい}世界を{ruby (charSpan 1): たび}旅する、{ruby (charSpan 1): は}果てしない	ドリーマーの　{ruby (charSpan 1): ゆめ}夢の{ruby (charSpan 2): けっしょう}結晶
""	{ruby (charSpan 1): むら}村で{ruby (charSpan 1): す}過ごした{ruby (charSpan 2): じかん}時間が	そこそこ{ruby (charSpan 1): なが}長くなってきた{ruby (charSpan 1): しるし}印
""	{ruby (charSpan 3): ちょうきかん}長期間に{ruby (charSpan 1): わた}渡り　{ruby (charSpan 1): むら}村で{ruby (charSpan 2): せいかつ}生活した{ruby (charSpan 1): ひと}人が	{ruby (charSpan 1): え}得られる、{ruby (charSpan 2): ねつい}熱意ある{ruby (charSpan 2): そんみん}村民の{ruby (charSpan 1): あかし}証
""	{ruby (charSpan 2): ながねん}長年に{ruby (charSpan 1): わた}渡って{ruby (charSpan 1): むら}村に{ruby (charSpan 1): す}住み{ruby (charSpan 1): つづ}続けた、	{ruby (charSpan 2): そんみん}村民・オブ・ザ・{ruby (charSpan 2): そんみん}村民の{ruby (charSpan 2): えいこう}栄光の{ruby (charSpan 1): あかし}証
