== 0 ==
"ant00"	Cyrano
"duk08"	Derwin
"duk09"	Drake
"duk10"	Scoot
"duk11"	Weber
"duk12"	Miranda
"duk13"	Ketchup
"duk14"	
"duk15"	Gloria
"duk16"	Molly
"duk17"	Quillson
"elp00"	Opal
"elp01"	Dizzy
"elp02"	Big Top
"elp03"	Eloise
"elp04"	Margie
"elp05"	Paolo
"elp06"	Axel
"elp07"	Ellie
"elp08"	
"elp09"	Tucker
"elp10"	Tia
"elp11"	Chai
"flg00"	Lily
"flg01"	Ribbot
"flg02"	Frobert
"flg03"	Camofrog
"flg04"	Drift
"flg05"	Wart Jr.
"flg06"	Puddles
"flg07"	Jeremiah
"flg08"	
"flg09"	Tad
"flg10"	Cousteau
"flg11"	Huck
"flg12"	Prince
"flg13"	Jambette
"flg14"	
"flg15"	Raddle
"flg16"	Gigi
"flg17"	Croque
"flg18"	Diva
"flg19"	Henry
"goa00"	Chevre
"goa01"	Nan
"goa02"	Billy
"goa03"	
"goa04"	Gruff
"goa05"	
"goa06"	Velma
"goa07"	Kidd
"goa08"	Pashmina
"gor00"	Cesar
"gor01"	Peewee
"gor02"	Boone
"gor03"	
"gor04"	Louie
"gor05"	Boyd
"gor06"	
"gor07"	Violet
"gor08"	Al
"gor09"	Rocket
"gor10"	Hans
"gor11"	Rilla
"ham00"	Hamlet
"ham01"	Apple
"ham02"	Graham
"ham03"	Rodney
"ham04"	Soleil
"ham05"	Clay
"ham06"	Flurry
"ham07"	Hamphrey
"ham08"	Holden
"hip00"	Rocco
"hip01"	
"hip02"	Bubbles
"hip03"	Bertha
"hip04"	Biff
"hip05"	Bitty
"hip06"	
"hip07"	
"hip08"	Harry
"hip09"	Hippeux
"hrs00"	Buck
"hrs01"	Victoria
"hrs02"	Savannah
"hrs03"	Elmer
"hrs04"	Roscoe
"hrs05"	Winnie
"hrs06"	Ed
"hrs07"	Cleo
"hrs08"	Peaches
"hrs09"	Annalise
"hrs10"	Clyde
"hrs11"	Colton
"hrs12"	Papi
"hrs13"	Julian
"hrs14"	Filly
"hrs15"	Epona
"kal00"	Yuka
"kal01"	Alice
"kal02"	Melba
"kal03"	Sydney
"kal04"	Gonzo
"kal05"	Ozzie
"kal06"	
"kal07"	
"kal08"	Canberra
"kal09"	Lyman
"kal10"	Eugene
"kgr00"	Kitt
"kgr01"	Mathilda
"kgr02"	Carrie
"kgr03"	
"kgr04"	
"kgr05"	Astrid
"kgr06"	Sylvia
"kgr07"	
"kgr08"	Walt
"kgr09"	Rooney
"kgr10"	Marcie
"lon00"	Bud
"lon01"	Elvis
"lon02"	Rex
"lon03"	
"lon04"	Leopold
"lon05"	
"lon06"	Mott
"lon07"	Rory
"lon08"	Lionel
"mnk00"	
"mnk01"	Nana
"mnk02"	Simon
"mnk03"	Tammi
"mnk04"	Monty
"mnk05"	Elise
"mnk06"	Flip
"mnk07"	Shari
"mnk08"	Deli
"mus00"	Dora
"mus01"	Limberg
"mus02"	Bella
"mus03"	Bree
"mus04"	Samson
"mus05"	Rod
"mus06"	
"mus07"	
"mus08"	Candi
"mus09"	Rizzo
"mus10"	Anicotti
"mus11"	
"mus12"	Broccolo
"mus13"	
"mus14"	Moose
"mus15"	Bettina
"mus16"	Greta
"mus17"	Penelope
"mus18"	Chadder
"oct00"	Octavian
"oct01"	Marina
"oct02"	Zucker
"oct03"	Inkwell
"ost00"	Queenie
"ost01"	Gladys
"ost02"	Sandy
"ost03"	Sprocket
"ost04"	
"ost05"	Julia
"ost06"	Cranston
"ost07"	Phil
"ost08"	Blanche
"ost09"	Flora
"ost10"	Phoebe
"pbr00"	Apollo
"pbr01"	Amelia
"pbr02"	Pierce
"pbr03"	Buzz
"pbr04"	
"pbr05"	Avery
"pbr06"	Frank
"pbr07"	Sterling
"pbr08"	Keaton
"pbr09"	Celia
"pgn00"	Aurora
"pgn01"	Roald
"pgn02"	Cube
"pgn03"	Hopper
"pgn04"	Friga
"pgn05"	Gwen
"pgn06"	Puck
"pgn07"	
"pgn08"	
"pgn09"	Wade
"pgn10"	Boomer
"pgn11"	Iggly
"pgn12"	Tex
"pgn13"	Flo
"pgn14"	Sprinkle
"pig00"	Curly
"pig01"	Truffles
"pig02"	Rasher
"pig03"	Hugh
"pig04"	Lucy
"pig05"	Spork
"pig06"	
"pig07"	
"pig08"	Cobb
"pig09"	Boris
"pig10"	Maggie
"pig11"	Peggy
"pig12"	
"pig13"	Gala
"pig14"	Chops
"pig15"	Kevin
"pig16"	Pancetti
"pig17"	Agnes
"pig18"	Ganon
"rbt00"	Bunnie
"rbt01"	Dotty
"rbt02"	Coco
"rbt03"	Snake
"rbt04"	Gaston
"rbt05"	Gabi
"rbt06"	Pippy
"rbt07"	Tiffany
"rbt08"	Genji
"rbt09"	Ruby
"rbt10"	Doc
"rbt11"	Claude
"rbt12"	Francine
"rbt13"	Chrissy
"rbt14"	Hopkins
"rbt15"	O'Hare
"rbt16"	Carmen
"rbt17"	Bonbon
"rbt18"	Cole
"rbt19"	Mira
"rbt20"	Toby
"rhn00"	Tank
"rhn01"	Rhonda
"rhn02"	Spike
"rhn03"	
"rhn04"	Hornsby
"rhn05"	
"rhn06"	
"rhn07"	Merengue
"rhn08"	Renée
"shp00"	Vesta
"shp01"	Baabara
"shp02"	Eunice
"shp03"	Stella
"shp04"	Cashmere
"shp05"	
"shp06"	
"shp07"	Willow
"shp08"	Curlos
"shp09"	Wendy
"shp10"	Timbra
"shp11"	Frita
"shp12"	Muffy
"shp13"	Pietro
"shp14"	Étoile
"squ00"	Peanut
"squ01"	Blaire
"squ02"	Filbert
"squ03"	Pecan
"squ04"	Nibbles
"squ05"	Agent S
"squ06"	Caroline
"squ07"	Sally
"squ08"	Static
"squ09"	Mint
"squ10"	Ricky
"squ11"	Cally
"squ12"	
"squ13"	Tasha
"squ14"	Sylvana
"squ15"	Poppy
"squ16"	Sheldon
"squ17"	Marshal
"squ18"	Hazel
"squ19"	Cece
"squ20"	Viché
"tig00"	Rolf
"tig01"	Rowan
"tig02"	Tybalt
"tig03"	Bangle
"tig04"	Leonardo
"tig05"	Claudia
"tig06"	Bianca
"wol00"	Chief
"wol01"	Lobo
"wol02"	Wolfgang
"wol03"	Whitney
"wol04"	Dobie
"wol05"	Freya
"wol06"	Fang
"wol07"	
"wol08"	Vivian
"wol09"	Skye
"wol10"	Kyle
"wol11"	W. Link
== 1 ==
"ant00"	Cirano
"ant01"	Antonio
"ant02"	Aspidora
"ant03"	Anabel
"ant04"	
"ant05"	
"ant06"	Rosanari
"ant07"	
"ant08"	Alba
"ant09"	Olaf
"bea00"	Teddy
"bea01"	Violeta
"bea02"	Gorbaché
"bea03"	Pando
"bea04"	
"bea05"	Nachete
"bea06"	Groucho
"bea07"	Tutú
"bea08"	Úrsula
"bea09"	Gruñón
"bea10"	Lizi
"bea11"	Astillas
"bea12"	Charo
"bea13"	Bernabé
"bea14"	Gruñerto
"brd00"	Jairo
"brd01"	Aria
"brd02"	Boquerón
"brd03"	Tití
"brd04"	Camelio
"brd05"	Bárbara
"brd06"	Avutardo
"brd07"	
"brd08"	Paloma
"brd09"	
"brd10"	
"brd11"	Repollo
"brd12"	
"brd13"	
"brd14"	
"brd15"	Plumerio
"brd16"	Gorrelmo
"brd17"	Picuet
"brd18"	Jaime
"brd19"	Medli
"bul00"	Aliste
"bul01"	Rodeo
"bul02"	
"bul03"	Vitorino
"bul04"	
"bul05"	Bovi
"bul06"	
"bul07"	Cacho
"bul08"	Artorito
"cat00"	Arándano
"cat01"	Misi
"cat02"	Minina
"cat03"	Olivia
"cat04"	Ágata
"cat05"	Tricia
"cat06"	Félix
"cat07"	Wanda
"cat08"	Tristán
"cat09"	Kabuki
"cat10"	Gatomán
"cat11"	Monique
"cat12"	Liana
"cat13"	Micifuz
"cat14"	Kasandra
"cat15"	Zapirón
"cat16"	Susi
"cat17"	Micha
"cat18"	Feli
"cat19"	Patri
"cat20"	Rufino
"cat21"	Melina
"cat22"	Felyne
"cbr00"	Celeste
"cbr01"	Dulce
"cbr02"	Poncho
"cbr03"	Bollito
"cbr04"	Orestes
"cbr05"	Parches
"cbr06"	Vladimir
"cbr07"	Orsón
"cbr08"	
"cbr09"	Osalina
"cbr10"	Cerecita
"cbr11"	
"cbr12"	
"cbr13"	Hanalulú
"cbr14"	Vera
"cbr15"	Osunio
"cbr16"	Plácido
"cbr17"	Aída
"cbr18"	Marty
"chn00"	Gus
"chn01"	Benito
"chn02"	Norberto
"chn03"	
"chn04"	
"chn05"	Ava
"chn06"	
"chn07"	
"chn08"	
"chn09"	Ramina
"chn10"	Herminia
"chn11"	Tono
"chn12"	Brunilda
"chn13"	Pichón
"cow00"	Vacarena
"cow01"	Pinta
"cow02"	
"cow03"	
"cow04"	
"cow05"	
"cow06"	Norma
"cow07"	Regina
"crd00"	Kaimán
"crd01"	Codrila
"crd02"	Braulio
"crd03"	
"crd04"	Croco
"crd05"	
"crd06"	Estallón
"crd07"	Boni
"crd08"	Dragonio
"der00"	Fauna
"der01"	Cornelio
"der02"	Corvilo
"der03"	Aristo
"der04"	Venada
"der05"	Agreste
"der06"	Rosalina
"der07"	Lope
"der08"	Bambina
"der09"	Cervasio
"der10"	Chelsea
"dog00"	Tere
"dog01"	Bruno
"dog02"	Pupas
"dog03"	Amnesio
"dog04"	Cándido
"dog05"	Amanda
"dog06"	Miki
"dog07"	Luisa
"dog08"	Purita
"dog09"	Martina
"dog10"	Bea
"dog11"	
"dog12"	
"dog13"	
"dog14"	Pit
"dog15"	Eto
"dog16"	Bernardo
"dog17"	Luna
"dog18"	Fleco
"duk00"	Paquito
"duk01"	Pascual
"duk02"	Pati
"duk03"	Patidifú
"duk04"	Martita
"duk05"	Flopi
"duk06"	Mirta
"duk07"	Rebeca
"duk08"	Torcuato
"duk09"	Draco
"duk10"	Chema
"duk11"	Paticio
"duk12"	Miranda
"duk13"	Kétchup
"duk14"	
"duk15"	Jarrea
"duk16"	Deira
"duk17"	Cuálter
"elp00"	Ópalo
"elp01"	Quique
"elp02"	Déivid
"elp03"	Eloísa
"elp04"	Rita
"elp05"	Paolo
"elp06"	Eustakio
"elp07"	Eli
"elp08"	
"elp09"	Pirolo
"elp10"	Meralda
"elp11"	Chai
"flg00"	Lili
"flg01"	Ranobot
"flg02"	Croaldo
"flg03"	Comando
"flg04"	Surfín
"flg05"	Saponcio
"flg06"	Nenúfar
"flg07"	Jeremías
"flg08"	
"flg09"	Saltonio
"flg10"	Cousteau
"flg11"	Ricardo
"flg12"	Felipe
"flg13"	Anquita
"flg14"	
"flg15"	Radiolo
"flg16"	Cleo
"flg17"	Ranolfo
"flg18"	Morania
"flg19"	Saperto
"goa00"	Cabriola
"goa01"	Pécora
"goa02"	Brito
"goa03"	
"goa04"	Sátiro
"goa05"	
"goa06"	Erika
"goa07"	Cabrálex
"goa08"	Carla
"gor00"	César
"gor01"	Lotar
"gor02"	Babú
"gor03"	
"gor04"	Lou
"gor05"	Bunga
"gor06"	
"gor07"	Magenta
"gor08"	Álex
"gor09"	Gloria
"gor10"	Hans
"gor11"	Rila
"ham00"	Bombo
"ham01"	Rosi
"ham02"	Roelio
"ham03"	Chusquis
"ham04"	Soraya
"ham05"	Boliche
"ham06"	Lluvia
"ham07"	Arsenio
"ham08"	Holden
"hip00"	Roco
"hip01"	
"hip02"	Hipólita
"hip03"	Berta
"hip04"	Pipo
"hip05"	Ofelia
"hip06"	
"hip07"	
"hip08"	Harpo
"hip09"	Hipóleo
"hrs00"	Trotón
"hrs01"	Victoria
"hrs02"	Sabana
"hrs03"	Jacinto
"hrs04"	Jereza
"hrs05"	Soonia
"hrs06"	Crinaldo
"hrs07"	Clotilde
"hrs08"	Perla
"hrs09"	Isadora
"hrs10"	Moe
"hrs11"	Furio
"hrs12"	Bayo
"hrs13"	Azulino
"hrs14"	Séptima
"hrs15"	Epona
"kal00"	Yuka
"kal01"	Zelanda
"kal02"	Melba
"kal03"	Sidney
"kal04"	Bronco
"kal05"	Koloa
"kal06"	
"kal07"	
"kal08"	Canberra
"kal09"	Chipi
"kal10"	Eucalín
"kgr00"	Antípoda
"kgr01"	Pugilda
"kgr02"	Lola
"kgr03"	
"kgr04"	
"kgr05"	Astrid
"kgr06"	Cándida
"kgr07"	
"kgr08"	Brinco
"kgr09"	Cerillo
"kgr10"	Brisa
"lon00"	Surfleo
"lon01"	Elvis
"lon02"	Leoncio
"lon03"	
"lon04"	Leopoldo
"lon05"	
"lon06"	Jones
"lon07"	Rogelio
"lon08"	Lionel
"mnk00"	
"mnk01"	Nana
"mnk02"	Simón
"mnk03"	Tami
"mnk04"	Burton
"mnk05"	Mayra
"mnk06"	Monet
"mnk07"	Montse
"mnk08"	Cana
"mus00"	Dori
"mus01"	Camember
"mus02"	Prity
"mus03"	Brie
"mus04"	Sansón
"mus05"	Rodi
"mus06"	
"mus07"	
"mus08"	Chuchi
"mus09"	Ratolón
"mus10"	Clorinda
"mus11"	
"mus12"	Brócoli
"mus13"	
"mus14"	Sato
"mus15"	Ottina
"mus16"	Jimena
"mus17"	Adela
"mus18"	Roque
"oct00"	Octavio
"oct01"	Marina
"oct02"	Paulino
"oct03"	Tintelio
"ost00"	Marujita
"ost01"	Gladis
"ost02"	Priscila
"ost03"	Ráfaga
"ost04"	
"ost05"	Julia
"ost06"	Carmelo
"ost07"	Amalio
"ost08"	Rocío
"ost09"	Azucena
"ost10"	Avelina
"pbr00"	Apolo
"pbr01"	Amelia
"pbr02"	Hugo
"pbr03"	Nabar
"pbr04"	
"pbr05"	Cuzco
"pbr06"	Aquilino
"pbr07"	Arni
"pbr08"	Lucho
"pbr09"	Jazmín
"pgn00"	Aurora
"pgn01"	Bobi
"pgn02"	Cube
"pgn03"	Güiñón
"pgn04"	Frida
"pgn05"	Fabiola
"pgn06"	Fredo
"pgn07"	
"pgn08"	
"pgn09"	Petín
"pgn10"	Serafino
"pgn11"	Bobo
"pgn12"	Tomeo
"pgn13"	Nieves
"pgn14"	Rizolda
"pig00"	Rufueto
"pig01"	Trufas
"pig02"	Curtis
"pig03"	Jacobo
"pig04"	Aurelia
"pig05"	Espork
"pig06"	
"pig07"	
"pig08"	Franfuá
"pig09"	Boris
"pig10"	Margarí
"pig11"	Peggy
"pig12"	
"pig13"	Marita
"pig14"	Solomín
"pig15"	Porcinio
"pig16"	Talía
"pig17"	Nerea
"pig18"	Ganon
"rbt00"	Coni
"rbt01"	Katia
"rbt02"	Cocoloca
"rbt03"	Rayo
"rbt04"	Gastón
"rbt05"	Piluca
"rbt06"	Méloni
"rbt07"	Tiffany
"rbt08"	Sumo
"rbt09"	Rubí
"rbt10"	Crispín
"rbt11"	Pablo
"rbt12"	Natacha
"rbt13"	Lali
"rbt14"	Saltiago
"rbt15"	Ernesto
"rbt16"	Linda
"rbt17"	Chocolat
"rbt18"	Nicolás
"rbt19"	Amparo
"rbt20"	Toby
"rhn00"	Aníbal
"rhn01"	Ronda
"rhn02"	Cornio
"rhn03"	
"rhn04"	Rino
"rhn05"	
"rhn06"	
"rhn07"	Natura
"rhn08"	Rina
"shp00"	Vesta
"shp01"	Beelén
"shp02"	Lanolina
"shp03"	Merina
"shp04"	Cachemir
"shp05"	
"shp06"	
"shp07"	Cuqui
"shp08"	Carnerio
"shp09"	Franela
"shp10"	Hebra
"shp11"	Ovinia
"shp12"	Muaré
"shp13"	Kikolor
"shp14"	Etoile
"squ00"	Belinda
"squ01"	Azabache
"squ02"	Filberto
"squ03"	Camila
"squ04"	Dentina
"squ05"	Fardilia
"squ06"	Mariló
"squ07"	Praliné
"squ08"	Protón
"squ09"	Menta
"squ10"	Altramuz
"squ11"	Almendra
"squ12"	
"squ13"	Tania
"squ14"	Silvana
"squ15"	Encina
"squ16"	Matracas
"squ17"	Munchi
"squ18"	Anacarda
"squ19"	Arduna
"squ20"	Ardelta
"tig00"	Albino
"tig01"	Miguelón
"tig02"	Teobaldo
"tig03"	Felina
"tig04"	Leocadio
"tig05"	Lilu
"tig06"	Bianca
"wol00"	Zoilo
"wol01"	Lupo
"wol02"	Wolfi
"wol03"	Lupe
"wol04"	Germán
"wol05"	Lupita
"wol06"	Colmillo
"wol07"	
"wol08"	Viviana
"wol09"	Alderia
"wol10"	Ataúlfo
"wol11"	Link L.
== 2 ==
"ant00"	Cyrano
"ant01"	Antonio
"ant02"	Mathilda
"ant03"	Anabelle
"ant04"	
"ant05"	
"ant06"	Tarina
"ant07"	
"ant08"	Roberta
"ant09"	Blair
"bea00"	Teddy
"bea01"	Rosine
"bea02"	Curt
"bea03"	Chulin
"bea04"	
"bea05"	Nathan
"bea06"	Ronchon
"bea07"	Tutu
"bea08"	Oursula
"bea09"	Grizzly
"bea10"	Wendy
"bea11"	Isaac
"bea12"	Zabou
"bea13"	Eustache
"bea14"	Klaus
"brd00"	Gérard
"brd01"	Robie
"brd02"	Miguel
"brd03"	Titi
"brd04"	Gilbert
"brd05"	Neige
"brd06"	Maréchal
"brd07"	
"brd08"	Michèle
"brd09"	
"brd10"	
"brd11"	Jacob
"brd12"	
"brd13"	
"brd14"	
"brd15"	Condor
"brd16"	Jacky
"brd17"	Pec
"brd18"	Darius
"brd19"	Médolie
"bul00"	Angus
"bul01"	Flèche
"bul02"	
"bul03"	Beubeu
"bul04"	
"bul05"	Steakos
"bul06"	
"bul07"	Arnold
"bul08"	Toto
"cat00"	Robert
"cat01"	Mistigri
"cat02"	Rosie
"cat03"	Olivia
"cat04"	Kiki
"cat05"	Marine
"cat06"	Cédric
"cat07"	Perle
"cat08"	Momo
"cat09"	Kabuki
"cat10"	Câlin
"cat11"	Monique
"cat12"	Tigri
"cat13"	Tupux
"cat14"	Kitty
"cat15"	Tom
"cat16"	Suzy
"cat17"	Maud
"cat18"	Linette
"cat19"	Neferti
"cat20"	Rougepif
"cat21"	Kat
"cat22"	Felyne
"cbr00"	Myrtille
"cbr01"	Léa
"cbr02"	Théo
"cbr03"	Gradub
"cbr04"	Bill
"cbr05"	Miro
"cbr06"	Vladimir
"cbr07"	Eddie
"cbr08"	
"cbr09"	Grisa
"cbr10"	Rosalie
"cbr11"	
"cbr12"	
"cbr13"	Agnès
"cbr14"	Pauline
"cbr15"	Placide
"cbr16"	Manu
"cbr17"	Vanessa
"cbr18"	Marty
"chn00"	Pouli
"chn01"	Dimitri
"chn02"	Herbert
"chn03"	
"chn04"	
"chn05"	Eva
"chn06"	
"chn07"	
"chn08"	
"chn09"	Sonya
"chn10"	Poulette
"chn11"	Wolfram
"chn12"	Jo
"chn13"	Ken
"cow00"	Margaux
"cow01"	Valé
"cow02"	
"cow03"	
"cow04"	
"cow05"	
"cow06"	Norma
"cow07"	Maiko
"crd00"	Alphonse
"crd01"	Allie
"crd02"	Croko
"crd03"	
"crd04"	Hector
"crd05"	
"crd06"	Chuck
"crd07"	Odile
"crd08"	Drago
"der00"	Bibi
"der01"	Nacer
"der02"	Régis
"der03"	Boubou
"der04"	Bichoune
"der05"	Jon
"der06"	Rosanne
"der07"	Stefaon
"der08"	Didi
"der09"	Abraham
"der10"	Chelsea
"dog00"	Mirza
"dog01"	Avril
"dog02"	Ramsès
"dog03"	Crocket
"dog04"	Nonos
"dog05"	Dalma
"dog06"	George
"dog07"	Naomie
"dog08"	Cookie
"dog09"	Olympe
"dog10"	Béa
"dog11"	
"dog12"	
"dog13"	
"dog14"	Brutus
"dog15"	Ismaël
"dog16"	Bernardo
"dog17"	Anna
"dog18"	Mehdi
"duk00"	Choco
"duk01"	Joseph
"duk02"	Terrine
"duk03"	Maëlle
"duk04"	Mina
"duk05"	Pompon
"duk06"	Mallory
"duk07"	Caro
"duk08"	Prof
"duk09"	Colvert
"duk10"	Scooter
"duk11"	Bébert
"duk12"	Maëllis
"duk13"	Ketchup
"duk14"	
"duk15"	Déborah
"duk16"	Molly
"duk17"	Narcisse
"elp00"	Opaline
"elp01"	Pachy
"elp02"	Miles
"elp03"	Éloïse
"elp04"	Maguy
"elp05"	Paolo
"elp06"	Axel
"elp07"	Ella
"elp08"	
"elp09"	Barry
"elp10"	Fanny
"elp11"	Chaï
"flg00"	Raina
"flg01"	Crabot
"flg02"	Verbert
"flg03"	Milos
"flg04"	Gordon
"flg05"	Crakos
"flg06"	Rénata
"flg07"	Jérémie
"flg08"	
"flg09"	Rénato
"flg10"	Figaro
"flg11"	Bajoue
"flg12"	Prince
"flg13"	Gambette
"flg14"	
"flg15"	Fabien
"flg16"	Gloria
"flg17"	Carlos
"flg18"	Violette
"flg19"	Henri
"goa00"	Biquette
"goa01"	Nana
"goa02"	Seguin
"goa03"	
"goa04"	Grognon
"goa05"	
"goa06"	Véra
"goa07"	Mokhtar
"goa08"	Chavrina
"gor00"	César
"gor01"	Gogo
"gor02"	Babouin
"gor03"	
"gor04"	Louis
"gor05"	Primo
"gor06"	
"gor07"	Gaëlle
"gor08"	Gustave
"gor09"	Gertrude
"gor10"	Loran
"gor11"	Rilla
"ham00"	Jojo
"ham01"	Esther
"ham02"	Graham
"ham03"	Chico
"ham04"	Stella
"ham05"	Guido
"ham06"	Emma
"ham07"	Charles
"ham08"	Glutin
"hip00"	Bebel
"hip01"	
"hip02"	Hippy
"hip03"	Bertha
"hip04"	Biff
"hip05"	Potama
"hip06"	
"hip07"	
"hip08"	Bob
"hip09"	Paulito
"hrs00"	Daniel
"hrs01"	Victoria
"hrs02"	Savana
"hrs03"	Martin
"hrs04"	Rosco
"hrs05"	Anne
"hrs06"	Édouard
"hrs07"	Cléa
"hrs08"	Prune
"hrs09"	Âne-lise
"hrs10"	Dorian
"hrs11"	Tony
"hrs12"	Bourrico
"hrs13"	Lico
"hrs14"	Palomina
"hrs15"	Épona
"kal00"	Calypso
"kal01"	Alice
"kal02"	Melba
"kal03"	Koaline
"kal04"	Gonzo
"kal05"	Koko
"kal06"	
"kal07"	
"kal08"	Kolala
"kal09"	Kalyptus
"kal10"	Jamy
"kgr00"	Poquette
"kgr01"	Mathilde
"kgr02"	Kanga
"kgr03"	
"kgr04"	
"kgr05"	Rhona
"kgr06"	Madsi
"kgr07"	
"kgr08"	Walt
"kgr09"	Mike
"kgr10"	Selma
"lon00"	Léonard
"lon01"	Elvis
"lon02"	Léo
"lon03"	
"lon04"	Leandro
"lon05"	
"lon06"	Aimé
"lon07"	Hercule
"lon08"	Léopold
"mnk00"	
"mnk01"	Mireille
"mnk02"	Simon
"mnk03"	Lili
"mnk04"	Lourant
"mnk05"	Élise
"mnk06"	Rudy
"mnk07"	Luna
"mnk08"	Magogo
"mus00"	Dora
"mus01"	Gruyère
"mus02"	Belle
"mus03"	Quenotte
"mus04"	Samson
"mus05"	Marcel
"mus06"	
"mus07"	
"mus08"	Sucrette
"mus09"	Sourizzi
"mus10"	Annie
"mus11"	
"mus12"	Steven
"mus13"	
"mus14"	Joachim
"mus15"	Sabrina
"mus16"	Greta
"mus17"	Missy
"mus18"	Mozzar
"oct00"	Octave
"oct01"	Marina
"oct02"	Marvin
"oct03"	Pigmento
"ost00"	Reine
"ost01"	Gladys
"ost02"	Ottie
"ost03"	Laflèche
"ost04"	
"ost05"	Julie
"ost06"	Gabin
"ost07"	Phil
"ost08"	Sophie
"ost09"	Justine
"ost10"	Faustine
"pbr00"	Apollon
"pbr01"	Aurélie
"pbr02"	Napoléon
"pbr03"	Phébus
"pbr04"	
"pbr05"	Faust
"pbr06"	Greggae
"pbr07"	Manfred
"pbr08"	Enzo
"pbr09"	Garance
"pgn00"	Aurore
"pgn01"	Reynald
"pgn02"	Cube
"pgn03"	Victor
"pgn04"	Friga
"pgn05"	Gwen
"pgn06"	Hervé
"pgn07"	
"pgn08"	
"pgn09"	Miglou
"pgn10"	Ethan
"pgn11"	Urbain
"pgn12"	Émilien
"pgn13"	Nora
"pgn14"	Laurie
"pig00"	Tirbou
"pig01"	Trufa
"pig02"	Salami
"pig03"	Bonno
"pig04"	Lucie
"pig05"	Justin
"pig06"	
"pig07"	
"pig08"	Porken
"pig09"	Boris
"pig10"	Marjorie
"pig11"	Rose
"pig12"	
"pig13"	Camille
"pig14"	Aaron
"pig15"	Jean-Bon
"pig16"	Lydie
"pig17"	Pansy
"pig18"	Ganon
"rbt00"	Clara
"rbt01"	Dorothée
"rbt02"	Coco
"rbt03"	Jeannot
"rbt04"	Gaston
"rbt05"	Gaby
"rbt06"	Nadia
"rbt07"	Tiphaine
"rbt08"	Kali
"rbt09"	Rubis
"rbt10"	Doc
"rbt11"	Claude
"rbt12"	Nadine
